begins_at,open_price,close_price,high_price,low_price,volume
2021-02-01T21:43:15Z,33591.845000,33604.560000,33674.385000,33524.290000,0
2021-02-01T21:43:30Z,33674.490000,33681.900000,33764.725000,33538.500000,0
2021-02-01T21:43:45Z,33618.170000,33613.850000,33754.540000,33542.935000,0
2021-02-01T21:44:00Z,33683.180000,33616.065000,33687.545000,33480.140000,0
2021-02-01T21:44:15Z,33546.575000,33562.475000,33697.160000,33476.540000,0
2021-02-01T21:44:30Z,33562.470000,33635.345000,33716.250000,33561.710000,0
2021-02-01T21:44:45Z,33703.590000,33633.000000,33705.525000,33561.715000,0
2021-02-01T21:45:00Z,33700.505000,33621.750000,33700.515000,33543.325000,0
2021-02-01T21:45:15Z,33688.060000,33629.525000,33707.146920,33555.475000,0
2021-02-01T21:45:30Z,33629.525000,33656.980000,33720.290000,33559.055000,0
2021-02-01T21:45:45Z,33724.390000,33657.825000,33740.755000,33589.650000,0
2021-02-01T21:46:00Z,33588.965000,33642.180000,33809.800000,33567.060000,0
2021-02-01T21:46:15Z,33573.835000,33626.500000,33706.550000,33559.515000,0
2021-02-01T21:46:30Z,33555.655000,33618.015000,33690.560000,33549.605000,0
2021-02-01T21:46:45Z,33546.015000,33613.915000,33685.530000,33543.445000,0
2021-02-01T21:47:00Z,33540.170000,33621.360000,33690.425000,33538.005000,0
2021-02-01T21:47:15Z,33621.360000,33624.330000,33693.175000,33548.955000,0
2021-02-01T21:47:30Z,33691.265000,33649.905000,33720.480000,33554.810000,0
2021-02-01T21:47:45Z,33721.490000,33643.520000,33722.385000,33573.880000,0
2021-02-01T21:48:00Z,33711.550000,33649.975000,33726.205000,33577.925000,0
2021-02-01T21:48:15Z,33648.945000,33653.510000,33726.460000,33580.960000,0
2021-02-01T21:48:30Z,33583.395000,33663.420000,33806.565000,33581.050000,0
2021-02-01T21:48:45Z,33664.640000,33618.765000,33759.725000,33529.180000,0
2021-02-01T21:49:00Z,33688.660000,33661.230000,33806.180000,33585.415000,0
2021-02-01T21:49:15Z,33732.790000,33673.145000,33758.465000,33601.305000,0
2021-02-01T21:49:30Z,33673.145000,33680.175000,33747.930000,33592.510000,0
2021-02-01T21:49:45Z,33611.520000,33673.195000,33758.940000,33605.590000,0
2021-02-01T21:50:00Z,33741.065000,33669.550000,33754.200000,33558.081501,0
2021-02-01T21:50:15Z,33672.325000,33668.520000,33740.630000,33555.928240,0
2021-02-01T21:50:30Z,33602.935000,33671.340000,33740.050000,33591.605000,0
2021-02-01T21:50:45Z,33602.425000,33664.435000,33748.095000,33594.785000,0
2021-02-01T21:51:00Z,33664.435000,33669.880000,33784.703656,33547.372488,0
2021-02-01T21:51:15Z,33669.880000,33676.180000,33743.755000,33601.285000,0
2021-02-01T21:51:30Z,33676.180000,33677.185000,33744.595000,33605.275000,0
2021-02-01T21:51:45Z,33606.250000,33731.615000,33740.640000,33600.425000,0
2021-02-01T21:52:00Z,33664.360000,33686.270000,33800.605000,33550.250000,0
2021-02-01T21:52:15Z,33614.480000,33621.370000,33753.480000,33499.780583,0
2021-02-01T21:52:30Z,33688.840000,33632.270000,33707.055000,33551.110000,0
2021-02-01T21:52:45Z,33563.515000,33635.600000,33709.955000,33562.865000,0
2021-02-01T21:53:00Z,33575.515000,33642.090000,33715.685000,33570.635000,0
2021-02-01T21:53:15Z,33707.145000,33635.670000,33710.505000,33562.420000,0
2021-02-01T21:53:30Z,33568.040000,33628.810000,33705.630000,33560.035000,0
2021-02-01T21:53:45Z,33558.320000,33574.280000,33706.820000,33549.415000,0
2021-02-01T21:54:00Z,33643.455000,33663.290000,33730.170000,33573.950000,0
2021-02-01T21:54:15Z,33663.290000,33669.280000,33730.915000,33592.195000,0
2021-02-01T21:54:30Z,33732.195000,33635.440000,33734.570000,33565.630000,0
2021-02-01T21:54:45Z,33635.440000,33628.240000,33705.335000,33561.840000,0
2021-02-01T21:55:00Z,33695.425000,33642.925000,33714.660000,33557.730000,0
2021-02-01T21:55:15Z,33715.100000,33643.285000,33715.105000,33571.570000,0
2021-02-01T21:55:30Z,33711.260000,33615.300000,33750.595000,33575.230000,0
2021-02-01T21:55:45Z,33685.630000,33659.105000,33755.990000,33588.860000,0
2021-02-01T21:56:00Z,33728.035000,33675.515000,33747.760000,33589.420000,0
2021-02-01T21:56:15Z,33743.635000,33701.860000,33774.765000,33605.595000,0
2021-02-01T21:56:30Z,33701.860000,33714.695000,33786.645000,33633.160000,0
2021-02-01T21:56:45Z,33714.695000,33688.585000,33787.635000,33620.340000,0
2021-02-01T21:57:00Z,33761.270000,33696.475000,33787.310000,33624.035000,0
2021-02-01T21:57:15Z,33765.890000,33698.310000,33770.360000,33627.130000,0
2021-02-01T21:57:30Z,33628.775000,33703.470000,33772.280000,33618.625000,0
2021-02-01T21:57:45Z,33773.395000,33711.300000,33779.845000,33636.930000,0
2021-02-01T21:58:00Z,33641.905000,33693.040000,33779.915000,33621.670000,0
2021-02-01T21:58:15Z,33619.695000,33736.115000,33761.035000,33608.095000,0
2021-02-01T21:58:30Z,33665.650000,33641.335000,33733.655000,33568.990000,0
2021-02-01T21:58:45Z,33568.995000,33666.605000,33731.130000,33562.550000,0
2021-02-01T21:59:00Z,33739.470000,33628.925000,33739.475000,33558.685000,0
2021-02-01T21:59:15Z,33558.690000,33632.850000,33709.385000,33558.305000,0
2021-02-01T21:59:30Z,33564.790000,33647.695000,33726.095000,33564.785000,0
2021-02-01T21:59:45Z,33579.395000,33646.615000,33720.080000,33572.940000,0
2021-02-01T22:00:00Z,33718.980000,33626.330000,33723.365000,33556.845000,0
2021-02-01T22:00:15Z,33554.480000,33647.405000,33776.225000,33536.950000,0
2021-02-01T22:00:30Z,33623.225000,33623.225000,33623.225000,33549.865164,0
2021-02-01T22:00:45Z,33602.015000,33554.495000,33730.870000,33453.805000,0
2021-02-01T22:01:00Z,33486.690000,33543.750000,33606.025000,33476.440000,0
2021-02-01T22:01:15Z,33543.750000,33566.085000,33639.625000,33489.125000,0
2021-02-01T22:01:30Z,33506.970000,33510.710000,33628.775000,33504.540000,0
2021-02-01T22:01:45Z,33565.770000,33573.090000,33633.540000,33510.325000,0
2021-02-01T22:02:00Z,33573.140000,33580.850000,33645.860000,33512.075000,0
2021-02-01T22:02:15Z,33635.425000,33567.345000,33637.935000,33511.830000,0
2021-02-01T22:02:30Z,33624.035000,33572.755000,33633.015000,33505.245000,0
2021-02-01T22:02:45Z,33633.390000,33578.830000,33643.105000,33512.395000,0
2021-02-01T22:03:00Z,33514.465000,33565.955000,33657.250000,33488.105000,0
2021-02-01T22:03:15Z,33492.110000,33562.350000,33636.115000,33480.720000,0
2021-02-01T22:03:30Z,33491.295000,33561.885000,33633.820000,33488.885000,0
2021-02-01T22:03:45Z,33630.490000,33563.860000,33631.475000,33489.965000,0
